rule,eta,seed,initial_validation_loss,best_validation_loss,best_epoch,epochs_executed,stop_reason,relative_improvement_percent
hebbian,0.001,42,0.29221933114494036,0.26713642969989626,300,300,max_epochs_reached,8.583587316679957
hebbian,0.005,42,0.29221933114494036,0.2671345053149819,300,300,max_epochs_reached,8.584245857956752
hebbian,0.01,42,0.29221933114494036,0.2671320994601977,300,300,max_epochs_reached,8.585069162416024
hebbian,0.05,42,0.29221933114494036,0.2671128377140858,300,300,max_epochs_reached,8.59166069968239
hebbian,0.1,42,0.29221933114494036,0.2670887234464758,300,300,max_epochs_reached,8.599912812065073
hebbian,0.2,42,0.29221933114494036,0.26704037254365665,300,300,max_epochs_reached,8.616458912088534
hebbian,0.5,42,0.29221933114494036,0.26689436542934536,300,300,max_epochs_reached,8.666423818153858
anti_hebbian,0.001,42,0.29221933114494036,0.2671376095978142,300,300,max_epochs_reached,8.583183545336938
anti_hebbian,0.005,42,0.29221933114494036,0.26714040469157774,300,300,max_epochs_reached,8.582227039909114
anti_hebbian,0.01,42,0.29221933114494036,0.26714389793073295,300,300,max_epochs_reached,8.581031623048247
anti_hebbian,0.05,42,0.29221933114494036,0.2671718187258979,300,300,max_epochs_reached,8.571476883785943
anti_hebbian,0.1,42,0.29221933114494036,0.2672066569437423,300,300,max_epochs_reached,8.559554942240224
anti_hebbian,0.2,42,0.29221933114494036,0.2672761242558766,300,300,max_epochs_reached,8.535782623050345
anti_hebbian,0.5,42,0.29221933114494036,0.26748285580834913,300,300,max_epochs_reached,8.46503728540874
